,content,time,author
290,rpg hal boo <@!377787590729924608>,2021-10-19 03:13:00.056,528580754683461632
291,rpg hal boo <@!528580754683461632>,2021-10-19 03:24:28.893,377787590729924608
292,rpg hal boo <@!528580754683461632>,2021-10-19 03:39:55.934,377787590729924608
293,rpg hal boo <@!528580754683461632>,2021-10-19 03:40:42.774,377787590729924608
294,.give <@!377787590729924608> 75000,2021-10-19 03:56:53.164,386643626530308096
295,owohug <@!386643626530308096>,2021-10-19 03:56:58.486,377787590729924608
296,owohug <@!377787590729924608>,2021-10-19 03:57:06.173,386643626530308096
297,<@!345445833489121280>,2021-10-19 04:04:09.753,377787590729924608
298,owowave <@!292567325855711235>,2021-10-19 04:12:46.078,377787590729924608
299,owokiss <@!377787590729924608>,2021-10-19 04:12:54.633,292567325855711235
300,<@!345445833489121280> ca,2021-10-19 04:17:35.750,528580754683461632
301,.give <@!345445833489121280> 50000,2021-10-19 04:17:52.352,528580754683461632
302,<@!386643626530308096>,2021-10-19 04:24:43.328,377787590729924608
303,$give <@!528580754683461632> Ichigo,2021-10-19 04:47:08.957,345445833489121280
304,$give <@!345445833489121280> mary saotame,2021-10-19 04:47:40.051,528580754683461632
305,$give <@!345445833489121280> mary saotome,2021-10-19 04:47:50.486,528580754683461632
306,<@!377787590729924608>,2021-10-19 06:05:12.695,345445833489121280
307,<@!377787590729924608>,2021-10-19 06:50:52.701,345445833489121280
308,rpg hal boo <@!386643626530308096>,2021-10-19 06:51:36.965,377787590729924608
309,pls trash <@!377787590729924608>,2021-10-19 06:52:40.116,345445833489121280
310,<@!345445833489121280>,2021-10-19 06:55:43.489,377787590729924608
311,<@!528580754683461632>,2021-10-19 07:08:53.027,377787590729924608
312,$give <@!345445833489121280> krul tepes,2021-10-19 08:11:24.349,377787590729924608
313,.trade <@!490180796804497419>,2021-10-19 12:15:33.936,377787590729924608
314,.dg fight <@352058734815608843>,2021-10-19 12:20:18.894,490180796804497419
315,<@456226577798135808>,2021-10-19 12:38:34.510,377787590729924608
316,<@!490180796804497419> anda zainali,2021-10-19 12:40:58.863,528580754683461632
317,<@386643626530308096>,2021-10-19 12:47:12.807,490180796804497419
318,<@!377787590729924608> balik lagi sini jec,2021-10-19 14:02:10.360,528580754683461632
319,.give <@!528580754683461632> 110000,2021-10-19 14:06:24.038,377787590729924608
320,.give <@!377787590729924608> 4996,2021-10-19 14:43:08.590,708992571178876992
321,rpg hal boo <@!377787590729924608>,2021-10-19 18:02:18.057,528580754683461632
322,.give <@377787590729924608> 110000,2021-10-20 05:19:55.460,528580754683461632
323,<@456226577798135808> give it to me,2021-10-20 05:46:00.244,386643626530308096
324,<@!490180796804497419>,2021-10-20 05:46:09.233,345445833489121280
325,owoslap <@!377787590729924608>,2021-10-20 05:48:32.749,345445833489121280
326,Rpg hal boo <@377787590729924608>,2021-10-20 06:44:36.403,528580754683461632
327,<@386643626530308096> u mau?,2021-10-20 07:08:34.688,490180796804497419
328,<@!528580754683461632>,2021-10-20 08:21:19.796,377787590729924608
329,<@!345445833489121280>,2021-10-20 08:45:18.981,377787590729924608
330,<@386643626530308096>,2021-10-20 08:46:26.683,490180796804497419
331,<@!490180796804497419> lu semua emote nangis aja deh,2021-10-20 08:47:05.266,345445833489121280
332,$give <@456226577798135808> satoru gojo,2021-10-20 08:47:17.120,377787590729924608
333,$give <@386643626530308096> Yohan Go,2021-10-20 08:48:18.624,490180796804497419
334,<@!386643626530308096>,2021-10-20 08:48:19.281,345445833489121280
335,<@!386643626530308096> take ur man,2021-10-20 08:48:42.167,345445833489121280
